Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,job_title_short,seniority,business_domain,min_salary,max_salary,avg_salary,company_name,city,company_age,sql_yn,python_yn,r_yn,spark_yn,aws_yn,excel_yn,tableau_yn,powerbi_yn,kafka_yn,snowflake_yn
Data Analyst (Reinsurance),£29K - £36K (Glassdoor est.),"We have a fantastic opportunity to join our Marine and Energy Team.
What can you expect?
This position is for a Marine and Energy Reinsurance Data Analyst. This role provides support to the broking and analytical team through the preparation and analysis of client data. This position is crucial in the preparation of client project work and the transaction of Reinsurance placements.
What will you be rewarded with?
Good work life balance with a competitive salary
Comprehensive benefits programs including: excellent pension contributions, private health insurance, tuition assistance, pension, employee assistance program, career mobility, employee network groups, volunteer opportunities, and other programs
26 days’ holiday with the option to buy or sell up to 5 days per year
We will rely on you to:
Clean, join and aggregate data from multiple internal and external data sources
Ability to identify and resolve problems, think creatively, strategically and analytically
Solve problems with a collaborative, multidisciplinary approach, combining technical expertise with business knowledge
Work with large data sets and create processes for efficient analysis and management of data
Ability to communicate results to diverse audiences through various methods.
What you need to have:
Experience working with Excel, VBA, Python and/or R (self taught or through your current role/ most recent role)
Experience working with small and large data sets
What makes you stand out:
Alteryx Designer Advanced certification
About Guy Carpenter
Guy Carpenter & Company, LLC is a leading global risk and reinsurance specialist with more than 3,100 professionals in over 60 offices around the world. Guy Carpenter delivers a powerful combination of broking expertise, trusted strategic advisory services and industry-leading analytics to help clients adapt to emerging opportunities and achieve profitable growth. Guy Carpenter is a business of Marsh & McLennan Companies (NYSE: MMC), the world’s leading professional services firm in the areas of risk, strategy and people. The company’s 75,000 colleagues advise clients in over 130 countries. With annualized revenue approaching $17 billion, Marsh & McLennan helps clients navigate an increasingly dynamic and complex environment through four market-leading companies including Marsh, Mercer and Oliver Wyman. For more information, visit www.guycarp.com and follow Guy Carpenter on LinkedIn and Twitter @GuyCarpenter
We embrace a culture that celebrates and promotes the many backgrounds, heritages and perspectives of our colleagues and clients regardless of their gender expression or identity, marital or civil partnership status, ethnic origin, nationality, age, background, disability, sexual orientation or beliefs. We are proud of our inclusive culture where everyone feels empowered to bring their whole selves to work and thrive. Learn more about our foundational values, mission and vision for the future by reviewing our Greater Good Policy.",3.7,"Marsh and McLennan
3.7","London, England",10000+ Employees,1871,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),data analyst,na,other,29,36,32.5,"Marsh and McLennan
",London,150,0,1,1,0,0,1,0,0,0,0
Agriculture Data Support Analyst,£36K - £40K (Glassdoor est.),"Agriculture Data Support Analyst
- 2100007L)

Agriculture Data Support Analyst

The purpose of this role is to work in collaboration with the wider Agriculture Data Team to ensure that Sainsbury’s has access to actionable insight from agriculture data.
You will support the wider Agriculture Data team with the implementation of data collection and data flow processes, to enable the delivery of Sainsbury’s Agriculture Strategy. You will ensure up to date user-friendly access to data and insight will be provided, to both internal and external stakeholders, enabling data-driven decisions. You will deliver this by working collaboratively with Agriculture Managers, cross functional teams and Sainsbury’s value chain partners.


What you need to do
Support the development of new data collection processes from source to Sainsbury’s environment.
Identify opportunities to improve existing agriculture data gathering and data flow processes
Ensure engagement of Agriculture Managers and cross functional teams on data collection processes.
Engage farmers, suppliers, consultants and other third parties in data collection processes.
Build relationships with agriculture consultants and ensure all data collected by them is shared and stored correctly.
Ensure all agriculture data collected is shared and made available to the wider Agriculture Team.
Provide internal and external stakeholders with up to date access to user-friendly agriculture reports.
Provide ad-hoc information, data and insight to support the wider Agriculture team with supplier meetings.
Build relationships and work closely with Sainsbury’s Tech Data Team.
What I will need to know
A passion for food, agriculture and numbers to support the delivery of efficiency savings, improved quality and product availability.
Demonstrable expertise in the use of data and understanding data sources.
Be able to articulate the use of insight to direct activity and measure success.
Ability to translate complex problems into easy to communicate processes.
A clear coherent understanding of supply chains and the basic components.
Excellent communication, relationship building and influencing skills.
What I will need to show
Ensure stakeholders have up to date user-friendly access to agriculture data and insight.
Become a point of contact between our agriculture consultants and the Agriculture Data Team.
Collaborative working with agriculture colleagues, cross functional teams and suppliers to deliver our core business priorities.
Effective planning and prioritisation.
Excellent self-awareness and communication.
Resources available to me
Sainsbury’s Agriculture Data Team support
Sainsbury’s Tech team
Performance development reviews and a personal development plan
My Sainsbury’s Learning- Sainsbury’s Brand Training Courses and Store Support Centre behavioural personal development courses
#LI-DC2

Primary Location
GB-London
Work Locations
Holborn Store Support Centre and Home Sainsbury's Supermarkets Ltd 33 Holborn London EC1N 2HT
Job
Planning
Schedule
Full-time
Advertised Salary Competitive plus benefits",3.6,"Sainsburys
3.6","London, England",10000+ Employees,1869,Company - Public,Grocery Stores & Supermarkets,Retail,$10+ billion (USD),na,na,other,36,40,38.0,"Sainsburys
",London,152,0,0,0,0,0,1,0,0,0,0
Business Science - Data Analyst,£23K - £46K (Glassdoor est.),"Business Science Worldwide – Data Analyst

Business Science
Set up over twenty year ago; this specialist analytics team is part of the Systems Intelligence Unit within MediaCom. Business Science ensures MediaCom delivers meaningful Outcomes for our clients by measuring what matters and hard-wiring insights back into the planning and buying processes to drive business results.
The Worldwide team acts as a catalyst for many of our global clients ensuring best practice across a range of disciplines such as: budgeting, KPI & measurement frameworks, results management and reporting outcomes. We often conduct measurement studies; bringing in other teams as appropriate. The key clients we are currently recruiting for are Adidas, Universal and Mars.

Objectives of the Role
This is a great opportunity to work with local markets and central team members to deliver new, hero planning tools and contribute to the development of the toolkit used at the heart of our Systems Thinking way of working.
You will be working on the most used stage within our planning System - Planner, plus other client-specific projects that support our Global network of users. These products will be fundamental to improving our work as MediaCom teams across the world and help set us apart from competitors.
This system brings together data from across WPP, GroupM and MediaCom and is our new global way of working. It also will involve working with key decision makers at both a global and local market level to improve our products and help adoption globally. This role involves working closely with local market teams across the network to gather data, train and support their use of the tools.
Duties and Responsibilities

Liaise with markets and develop good relationships to get good quality media data and feedback
Work collaboratively with Global Insight, Strategy, and Systems Planning teams to ensure progress of tool adoption and future development of key stages of The System
Support and help with other data projects and tools which sit alongside The System and are key to client business and market knowledge.
Help users understand the tools at both an entry and expert level. Be the go-to person for data questions around these tools
Produce training materials and help local teams to support themselves
Support client teams and New Business in using and understanding the tools
Help to upsell Business Science projects for bespoke client calibration
Gather good examples of usage and circulate best practice examples

People Responsibilities
As part of a small Worldwide team we would expect you to work collaboratively and constructively with immediate colleagues and the wider client teams
You will need to keep line managers up to date with project progress; including anticipating problem areas in advance
Engage with the personal appraisal programme (MY360) that supports your development and progression within the company

Knowledge, Skills and Abilities
An understanding and appreciation of marketing and media landscape is ideal. Either Global experience or working in local markets
Analytical experience and attention to detail crucial
Understanding of the principles of marketing and advertising, as well as an understanding of media concepts and terms, creative and budget requirements
Keen to develop a detailed understanding of the data available for analysis so the context is understood, and results are pertinent
Self-driven/proactive candidate will get the most out of the role

Qualifications and Experience
Effective communicator & interpersonal skills: Speak, listen and write in a clear, thorough and timely manner using appropriate and effective communication tools and techniques. This role is about getting the best info from local markets – so effective communication and diplomacy is key
Problem solving: Assess problem situations to identify causes, gather and process relevant information, generate possible solutions, and make recommendations and/or resolve the problem
Contributing to effective Teamwork: work cooperatively and effectively with others, help resolve problems, and make decisions that enhance organizational effectiveness
Organisation: Set priorities, develop a work schedule, monitor progress towards goals – reporting back to team with progress
Strong numerical skills needed
Planning: Create and implement actions plans, and evaluate the process and results
Knowledge of Excel and/or SQL would be an advantage but not required

https://www.linkedin.com/company/mediacom",3.3,"MediaCom
3.3","London, England",1001 to 5000 Employees,1995,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,$1 to $2 billion (USD),data analyst,na,other,23,46,34.5,"MediaCom
",London,26,1,0,0,0,0,1,0,0,0,0
Digital Data Analyst – CONTRACT,£21K - £32K (Glassdoor est.),"Category: Analytics & Insight
Type: Permanent
Job Reference: 830
Consultant: kate.mcdermott@bluepelican.com

Digital Data Analyst – CONTRACT
SQL & Google Analytics
** Global Digital Agency **

Join a forward thinking, innovative digital agency
Huge emphasis on growth and development, both technically and softer skills
Highly sociable and creative environment

SALARY £25k - £28k plus benefits
LOCATION 100% remote, then Birmingham or London
TERM 3 months, with likelihood of extension to follow

We are recruiting for an Insight Analyst to work for a global digital agency, specifically on a luxury automotive client.
You will join a growing analytics team, delivering a broad range of services from multichannel analytics, CRM, shopper marketing, consulting, social media, advertising to brand strategy and planning, digital platforms, products and build.
Reporting into a highly personable and credible manager, you will work in a diverse digital analytics role delivering projects across data science, tagging implementation, social media analytics and A/B testing. Ideally, we would like someone with skills in all of these areas, but wholly recognise this is very difficult to find! So, they are taking an open minded approach and would hire ‘potential’ over ‘years of experience’, as long as the aptitude for learning is there, coupled with an intellectual curiosity to problem solve.
Ultimately we are looking for a super bright, numerate insights analysts with a desire to diversify and develop their skill set across multichannel analytics and data science.
They operate a tech stack consisting of R, Python, SQL and Google Analytics, as well as a variety of social media listening tools including BrandWatch, Netbase and Hootsuite, but operate a free environment whereby you can leverage the most appropriate tools to deliver to the task in hand.
The culture is high performing, sociable, a natural home for ambitious types and high performers, so if it’s a steep learning curve you’re after, this would be a great move.
Experienced required:
Educated to degree level in a numerate subject
Skilled in using SQL to write code to an intermediate level for data extraction and manipulation is ESSENTIAL
Experience with Google Analytics or Adobe Analytics for digital insight analysis also ESSENTIAL
Ability to develop reports and communicate actionable insights off the back of these is key
Excellent communication and presentation skills
Ability to work well in a global, matrix environment
Ability to manage and prioritise several concurrent tasks, working independently
Ability to clearly explain complex technical ideas to multiple audiences both verbally and in writing

TO APPLY

For further information or to apply please contact:

Kate McDermott - Managing Consultant @ Blue Pelican Marketing


Share through your CV to kate@bluepelican.com
Text me on 07803 503780
Share through your LI profile if you’re non-active and simply curious

You don’t have to have a CV to find a new job! We’re always keen to talk to good data experts.

For more vacancies which may suit your needs, please visit us at www.bluepelican.com

To learn more about this role, please apply or contact Kate directly on kate.mcdermott@bluepelican.com
How to apply
If this position is of interest please send us your CV here, or you can call Kate McDermott direct on to discuss this and other vacancies that may suit.
Kate McDermott
Email: kate.mcdermott@bluepelican.com",3.8,"Blue Pelican
3.8","London, England",1 to 50 Employees,2002,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,data analyst,na,other,21,32,26.5,"Blue Pelican
",London,19,1,1,0,0,0,1,0,0,0,0
2021 Summer Analyst Program- Data & Analytics Solutions,£31K - £39K (Glassdoor est.),"BNY Mellons Summer Analyst Program (SAP) provides high-potential students with a well-rounded, rewarding internship experience as well as an inside look into what its like to work for a global financial services organization that has been innovating and serving clients since 1784. With projects specifically chosen to both challenge and develop SAP participants, our summer analysts will gain valuable real-world experiences working in their respective line of business/function as well as learn to work together in collaborative teams.

From day one, summer analysts are immersed in BNY Mellons innovative and dynamic company culture as they will receive:

· meaningful and challenging work assignments;

· networking opportunities with peers, senior leaders and executives;

· exposure to different areas of business;

· comprehensive professional etiquette and financial services fundamentals training; and

· understanding of BNY Mellons commitment to diversity and inclusion.

Program At A Glance:
9-week (EMEA) or 10-week (U.S.) summer internship assignment within an identified line of business or division of BNY Mellon* that combines learning with skill development through practical work and projects;
two-day in-person orientation/onboarding and virtual training curriculum; plus
career development and networking support from a host of corporate leaders including rotation assignment managers, senior mentors, peer mentors, business stakeholders and a dedicated program manager.
Potential Program Locations:

· US: Pittsburgh, PA *New York, NY * Jersey City, NJ * Boston, MA * Lake Mary, FL

· EMEA: London and Manchester (UK), Ireland, Wroclaw (Poland)

Program Highlights:
Small, selective program size that allows for more personal attention and support;
Participants can further develop their technical and business acumen skills/expertise, enhance leadership abilities and build networks across the organization;
Robust onboarding and training curriculum designed specifically for summer analysts;
Full commitment from top-level management to make our program the premier internship/talent pipeline program within the financial services industry;
Opportunity to apply for one of our full-time pipeline leadership programs, including the Emerging Leaders Program (ELP) and Technology Leadership Program (TLP).
Post-SAP Opportunities:

SAP aims to create a pipeline of talent to feed entry-level pipeline program and entry-level full-time position hiring needs. Upon successful completion of the program as well as overall performance and business need, there are potential full-time employment opportunities that our summer analysts may apply for, including the Emerging Leaders Program (ELP), Technology Leadership Program (TLP) and full-time direct hire roles.

Qualifications


Program Eligibility/Qualifications:

· Enrollment in a 4-year undergraduate (U.S.) or full-time undergraduate (UK) degree program with a strong focus on business-related and/or technology-related majors;

· Rising senior (U.S.) or penultimate year students (UK) during summer 2019;

· Minimum cumulative GPA of 3.2 or better (U.S.) or 2:1 (UK);

· Well-rounded and balanced background including demonstrated leadership abilities;

· Strong written and oral communication skills;
Not require sponsorship for employment visa status (now or in the future) in the region where they apply.
Please note: all technology SAP candidates must also obtain a passing score on BNY Mellons Hacker Rank coding challenge

BNY Mellon is an Equal Employment Opportunity Employer.
Our ambition is to build the best global team one that is representative and inclusive of the diverse talent, clients and communities we work with and serve and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.

Primary Location: United Kingdom-Greater London-London
Job: Asset Servicing
Internal Jobcode: 52255
Organization: Data-HR08406
Requisition Number: 2006478",3.4,"BNY Mellon
3.4","London, England",10000+ Employees,1784,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),na,na,other,31,39,35.0,"BNY Mellon
",London,237,0,0,0,0,0,0,0,0,0,0
Data Networks Analyst,£25K - £32K (Glassdoor est.),"Data Networks Analyst
About Us
Our Data Networking department is recruiting a Data Networking Analyst to provide technical support for Harrod’s Data Network on both LAN, WAN, Wireless, Security and SDA environments. This role will work as part of a specialist team to support our Knightsbridge store and other satellite sites.
About You
You will be an experienced networking specialist with a strong customer service focus in your work and approach to working with stakeholders. You will have experience working on enterprise campus networks with over 1000 users and across multiple sites and working with exciting networking infrastructures. You will have experience managing day to day operation tasks, playing a hands-on role in the daily delivery of networking issues and improvements.
You will be self-sufficient and driven to develop your craft. You will have flexibility and readiness to adapt to changing priorities as well as work patterns, including out of hours support.
What to expect
In this exciting role you will ensure maximum service availability and performance through proactive monitoring, reporting, and planning. To contribute to the overall architecture and design of the Harrods Infrastructure. To work within the data network team providing proven technical support knowledge in two or more of the areas under the technical competencies section of this Job Profile.
Our promise to you
If you are looking to take the next step in your career with a dedication to Data Networking in a role that addresses real business operational challenge, this role will open doors for you. We offer great pathway opportunities to develop your career as a specialist in an environment unlike any other.
More immediately, you will benefit from an excellent benefits package, including a company pension, flexible working, 22 days’ holiday, and your birthday off, up to 33% in-store discount and a season ticket loan.
Uniquely you
At Harrods we believe the personality and authenticity of our people sets us apart. We celebrate and invite applications from all cultures, backgrounds, tastes and experiences and are proud of our culture where people from all walks of life can grow and thrive. What makes you unique makes us exceptional.
If you want to know more about our people and our culture, search #TogetherHarrods on LinkedIn, Facebook, or Instagram.
Additional Information:
Time Type:
Permanent
Department:
Data Networks - (Own Bought) (Hayg Mutafyan)",3.6,"Harrods
3.6","Knightsbridge, England",1001 to 5000 Employees,1834,Company - Private,"Department, Clothing, & Shoe Stores",Retail,$500 million to $1 billion (USD),na,na,other,25,32,28.5,"Harrods
",Knightsbridge,187,0,0,0,0,0,1,0,0,0,0
HR Data Analyst - 12 month FTC,£50K - £60K (Glassdoor est.),"Key Responsibilities:
Develop, enhance and maintain management reporting analyses and dashboards on HR statistics such headcount, absence, attrition, talent management, diversity, etc in accordance with requirements to show value through data.
Support through collaboration with other HR Teams to ensure the smooth transition of any wider business initiatives, annual reward cycle/organization change activity ensuring accurate data is uploaded into our HR system.
Review and monitor HR Data Quality in delivered Reports/Dashboards and be able to explain variances and trends to continually identify & deliver measures to improve systems and data integrity.
Partner with functional areas of Human Resources on key HR initiatives; provide expert advice and guidance to the teams on data.
Manage Adhoc Data and Analytics requests of allocated stakeholder groups
Create Insight reports utilizing different data sets and analyses to support stakeholders and the business in their decision making process
Facilitate the training of, and engagement in, the use of self-service reporting capabilities to key users across the business
Communicate fluently and present complex technical information to a non-technical audience

Qualifications:
Degree educated
Skill and Experience:
Experience in Delivery of HR Management Information
Knowledge of common HR metrics and KPI’s
Evidence Direct Engagement with Senior Stakeholder in current or previous roles
Communicates fluently and is able to present complex technical information to a non-technical audience
Experience in writing Insight reports, analyzing different data sets to answer business questions
Strong experience in building PowerBI Dashboards is essential
Experience with Oracle Cloud HCM system preferrable",3.5,"GVC Group
3.5","Stratford, London, England",10000+ Employees,2020,Company - Public,Gambling,"Arts, Entertainment & Recreation",$2 to $5 billion (USD),data analyst,na,hr,50,60,55.0,"GVC Group
",Stratford,1,0,0,0,0,0,0,0,1,0,0
Digital Data Analyst – CONTRACT,£50K - £60K (Glassdoor est.),"Category: Analytics & Insight
Type: Permanent
Job Reference: 830
Consultant: kate.mcdermott@bluepelican.com

Digital Data Analyst – CONTRACT
SQL & Google Analytics
** Global Digital Agency **

Join a forward thinking, innovative digital agency
Huge emphasis on growth and development, both technically and softer skills
Highly sociable and creative environment

SALARY £25k - £28k plus benefits
LOCATION 100% remote, then Birmingham or London
TERM 3 months, with likelihood of extension to follow

We are recruiting for an Insight Analyst to work for a global digital agency, specifically on a luxury automotive client.
You will join a growing analytics team, delivering a broad range of services from multichannel analytics, CRM, shopper marketing, consulting, social media, advertising to brand strategy and planning, digital platforms, products and build.
Reporting into a highly personable and credible manager, you will work in a diverse digital analytics role delivering projects across data science, tagging implementation, social media analytics and A/B testing. Ideally, we would like someone with skills in all of these areas, but wholly recognise this is very difficult to find! So, they are taking an open minded approach and would hire ‘potential’ over ‘years of experience’, as long as the aptitude for learning is there, coupled with an intellectual curiosity to problem solve.
Ultimately we are looking for a super bright, numerate insights analysts with a desire to diversify and develop their skill set across multichannel analytics and data science.
They operate a tech stack consisting of R, Python, SQL and Google Analytics, as well as a variety of social media listening tools including BrandWatch, Netbase and Hootsuite, but operate a free environment whereby you can leverage the most appropriate tools to deliver to the task in hand.
The culture is high performing, sociable, a natural home for ambitious types and high performers, so if it’s a steep learning curve you’re after, this would be a great move.
Experienced required:
Educated to degree level in a numerate subject
Skilled in using SQL to write code to an intermediate level for data extraction and manipulation is ESSENTIAL
Experience with Google Analytics or Adobe Analytics for digital insight analysis also ESSENTIAL
Ability to develop reports and communicate actionable insights off the back of these is key
Excellent communication and presentation skills
Ability to work well in a global, matrix environment
Ability to manage and prioritise several concurrent tasks, working independently
Ability to clearly explain complex technical ideas to multiple audiences both verbally and in writing

TO APPLY

For further information or to apply please contact:

Kate McDermott - Managing Consultant @ Blue Pelican Marketing


Share through your CV to kate@bluepelican.com
Text me on 07803 503780
Share through your LI profile if you’re non-active and simply curious

You don’t have to have a CV to find a new job! We’re always keen to talk to good data experts.

For more vacancies which may suit your needs, please visit us at www.bluepelican.com

To learn more about this role, please apply or contact Kate directly on kate.mcdermott@bluepelican.com
How to apply
If this position is of interest please send us your CV here, or you can call Kate McDermott direct on to discuss this and other vacancies that may suit.
Kate McDermott
Email: kate.mcdermott@bluepelican.com",3.8,"Blue Pelican
3.8","London, England",1 to 50 Employees,2002,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,data analyst,na,other,50,60,55.0,"Blue Pelican
",London,19,1,1,0,0,0,1,0,0,0,0
Tableau Data Analyst - Fully Remote (UK Based),£50K - £60K (Glassdoor est.),"Tableau Data Analyst - Remote
£55,000
This company are a high growth consultancy who help SME's with their messaging solutions to improve communications across the business and to clients. Sitting in the sales team, they are looking for a Tableau Data Analyst to improve their output by delivering data reporting and dashboarding solutions. You will be working to generate analytics and define the long term metrics and insights required by the sales team to deliver effective planning and performance for customer targeting, sales, operations, finance and marketing.
Requirements
To qualify for this Tableau Data Analyst role, you will require:
Experience building Tableau Dashboards and reports
Experience working with senior stakeholders to gather requirements and make insightful business suggestions using data
Experience wrangling large numbers of data sets using SQL ideally
Experience in sales and operations analytics is preferred
Salary:
The maximum salary for this role is £55,000
HOW TO APPLY:
Please register your interest to this Data Analyst role by applying via this website. For more information on this role or other roles in the Business Intelligence market, reach out to Tom Brammer at Harnham.
Please note that our client is currently running a fully remote interview process, and able to on-board and hire remotely as well.",3.9,"Harnham
3.9","London, England",51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),data analyst,na,other,50,60,55.0,"Harnham
",London,15,1,0,0,0,0,0,1,0,0,0
Data Analyst (Japanese Speaking),£50K - £60K (Glassdoor est.),"Square Enix’s A&I department is responsible for providing insight into consumer behaviour using data collected from users and games. Our expanding team consists of bright and dedicated analysts and data scientists who provide impactful deliveries and robust data stewardship. We work across a wide range of projects for game production, marketing, web, sales and executive teams to enable our stakeholders to make data-driven decisions. We are now looking for an experienced analyst who will work closely with production and development teams to extract meaningful customer data from our products, as well as leverage in game data to help our marketing team optimise their campaigns.

In this position, the Data Analyst’s time will be predominantly focussed on running analytical projects to support game teams on Square Enix Japan lead projects as well as mentoring junior analysts. The successful candidate will have a strong grasp of technical tools (SQL, Python, R, Excel) and understand how evidence-based decisions should be presented. This self-starter will have a desire to work across diverse data sources (spanning marketing campaign data, sales performance, game telemetry and online user behaviour) to shape our customer understanding and support development for Square Enix West’s digital future. In order to work closely with our Japanese collaborators, the candidate will be perfectly fluent in Japanese, including on analytics and technical topics.

We are looking for candidates with a good level of analytics who wish to take the next step in their career. You should utilise the skills and knowledge you have accumulated in your career and be ready to move into a role where you will gain experience of strategy and support the development of other analysts. You will have a wealth of practical experience working with big data and are comfortable communicating valuable insights to an array of teams to influence decisions. We will provide you with a structured development plan and regular reviews to ensure you meet your goals.

This is an integral role in our Analytics department and represents a great opportunity for the successful candidate to help shape, define and influence the future growth and direction of the team. If you have the ambition to make a real difference and have the requisite skills, we would love to hear from you.

Key Deliverables: 主要担当業務内容:
Dive deep into game behaviour data to identify key opportunities for further game development and improvement
Guide game producers by defining and measuring key elements of game progression and behaviour
Inform stakeholders across Product and Marketing teams about game, campaign and sales performance
Together with technical teams, gather requirements to improve our existing processes and user-tracking infrastructure
Develop digital dashboards and reports that track and analyse key metrics related to product performance as well as consumer behaviour and cross-brand insights
Support research projects (spanning ideation, implementation and analysis) that shed light on gamer interests and popularity of our games
Help provide a collaborative environment in which the team can develop methodologically sound data analysis techniques
Clearly communicates schedule and priorities to stakeholders
Remain alert to opportunities which further utilise our data to benefit the business
Ensure we continue to collect and document appropriate data
Prioritises own and team’s work as necessary
Take a flexible and open minded approach to new challenges
Requirements

Essential 必須
Perfectly fluent in Japanese and English (including on analytics and technical topics)
Flexible to travel
Medium experience as a data analyst
Strong SQL ability
Excellent analytical experience manipulating large or complex data sets efficiently
Statistical modelling
Preferably a Master’s degree or equivalent in statistics, maths, computer science, experimental psychology or similar field
Highly literate with analytical software
Role model best practice analytical behaviours such as project management and quality assurance of code
You enjoy collaborating with people at all organisational levels and have great communication and presentation skills
Ability to conceptualise complex business problems and solve them through data analysis
Handle multiple tasks while managing priorities and customer expectations as needed
Driven to develop skills in others
Desirable 望ましい
Experience with Google Cloud PlatformPower BI, Looker or other visualisation package such as Tableau experienceWorking knowledge of R, Python or other programming languages for data analysis Survey design experienceExperience with web analytics toolsExperience in the video game industry
Other その他
A real passion and interest in video games, data, analytics, online marketing and ecommerce
You have a drive for commercial impact through evidence based decision making
Excellent attention to detail
You love to tell stories with data and generate meaningful insights
Ability to work under pressure and to deadlines
Continually seeking knowledge and understanding",3.6,"Square Enix
3.6","London, England",1001 to 5000 Employees,1975,Company - Public,Video Games,Media,Unknown / Non-Applicable,data analyst,na,other,50,60,55.0,"Square Enix
",London,46,1,1,0,0,0,1,1,0,0,0
D365 HR Data Analyst,£50K - £60K (Glassdoor est.),"Our client, an end user organisation based near Milton Keynes, require a D365 HR Data Analyst to join their team on a contract basis. This is likely to be an initial 6-month engagement with a strong possibility of extension. Some remote working may be offered.
Key Skills & Experience:
Significant previous experience of migrating data to AX2012/D365
Strong Technical and Functional knowledge of Dynamics AX
At least 1-2 years’ experience with MS Dynamics AX
Strong experience migrating into HR Systems
Responsibilities:
Lead migration from existing legacy systems to D365 FO
Data cleanse and completion
Management of internal and external data resources
Provide subject matter expertise on HR data migration
Proactively manage data migration risks, issues and changes
Develop new migration processes required by local requirements
Assist in Business Change impacts
Location: Milton Keynes
Candidates must be eligible to work in the location",5.0,"Catch Resource Management Ltd
5.0","Milton Keynes, England",1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),data analyst,na,hr,50,60,55.0,"Catch Resource Management Ltd
",Milton Keynes,-1,0,0,0,0,0,0,0,0,0,0
Marketing Data Analyst - Marketing Operations,£50K - £60K (Glassdoor est.),"The Role

Examples of what you will be doing:

This role will suit an experienced business analyst that has demonstrated skills in data analytics and extensive experience in determining insight requirements to develop data-driven marketing and reporting within a product and services environment. You will work as part of the marketing team to support on identifying customer insights as well as leading on initiatives such as targeting and segmentation, data delivery, design, integration and reporting.

The role can be based in either Manchester, London or Milton Keynes, with the flexibility of home working.

Key duties and responsibilities

Support the development and delivery of existing and new reporting, BI & Analytics projects including NPS, the response to marketing briefs, securing and analysing required data, preparing the story and visualization, and presenting to internal and external stakeholders

Data lead in collaboration with Marketing on customer insights and engagement activities/plans with a customer-led approach through local customer targeting and segmentation, identify and activate adequate channels in order to engage, create loyalty and value for our customers. Develop new acquisition, retention and growth strategies aligned to customer life cycle stage and wider marketing initiatives

Provide sophisticated decision support in the form of reports and dashboards to Marketing leadership through the creation and enhancement of easy to access and interpret decision tools and dashboards

Data integration: ability to extract data from the `back end` databases of key business systems and perform data preparation techniques in order to integrate datasets from multiple sources

Data modelling: design, build and maintain data models/cubes with measures and dimensions

Experience in advanced analytics, ability to evaluate and embrace latest technologies (e.g. predictive data solutions).

Knowledge of industry trends and developments including GDPR, Legitimate Interest and Consent based marketing

Data and Technical Product Experience

Competent with data processing & modelling, utilising best practices

Extensive knowledge in dealing with data in an SQL environment

A fundamental understanding of ETL to perform effective database querying involving multiple data tables

Understanding of Data Warehouse Architecture, Power BI, SQL Server Reporting Services (SSRS), SQL Server Integration Services (SSIS), SQL Server Analysis Services (SSAS), both multi-dimensional and tabular.

Experienced in the use of Advanced Analytics and Google Analytics

Advanced knowledge of digital and direct media channels and broader marketing advertising requirements

Highly skilled in manipulating data in Excel for analytical purposes (vlookups and pivot tables) including knowledge and experience of advanced formulas, data transformation handling large datasets, tables and formatting, conditional formatting etc.

A bit about you

Proven working experience as a data analyst or business data analyst - 4+ years of experience in analytics of which 2 years should be in marketing related analytics work and performance reporting and good grounding on other data management and analytical related work

Effective at communicating complex ideas and analysis with developers and non-technical stakeholders

Experience of working cross-functionally with teams including marketing, sales and online.

Ability to work in a fast pace matrix organisation and deliver quick wins as well as future vision and roadmaps.",3.4,"Countrywide plc
3.4","Milton Keynes, England",10000+ Employees,1986,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,data analyst,na,marketing,50,60,55.0,"Countrywide plc
",Milton Keynes,35,1,0,0,0,0,1,0,0,0,0
